id,city_id:id,name,ext
city_SX_yc_13,city_SX_8,河津市,140882000000
city_SX_yz_1,city_SX_9,忻府区,140902000000
city_SX_yz_2,city_SX_9,定襄县,140921000000
city_SX_yz_3,city_SX_9,五台县,140922000000
city_SX_yz_4,city_SX_9,代县,140923000000
city_SX_yz_5,city_SX_9,繁峙县,140924000000
city_SX_yz_6,city_SX_9,宁武县,140925000000
city_SX_yz_7,city_SX_9,静乐县,140926000000
city_SX_yz_8,city_SX_9,神池县,140927000000
city_SX_yz_9,city_SX_9,五寨县,140928000000
city_SX_yz_10,city_SX_9,岢岚县,140929000000
city_SX_yz_11,city_SX_9,河曲县,140930000000
city_SX_yz_12,city_SX_9,保德县,140931000000
city_SX_yz_13,city_SX_9,偏关县,140932000000
city_SX_yz_14,city_SX_9,五台山风景名胜区,140971000000
city_SX_yz_15,city_SX_9,原平市,140981000000
city_SX_lf_1,city_SX_10,尧都区,141002000000
city_SX_lf_2,city_SX_10,曲沃县,141021000000
city_SX_lf_3,city_SX_10,翼城县,141022000000
city_SX_lf_4,city_SX_10,襄汾县,141023000000
city_SX_lf_5,city_SX_10,洪洞县,141024000000
city_SX_lf_6,city_SX_10,古县,141025000000
city_SX_lf_7,city_SX_10,安泽县,141026000000
city_SX_lf_8,city_SX_10,浮山县,141027000000
city_SX_lf_9,city_SX_10,吉县,141028000000
city_SX_lf_10,city_SX_10,乡宁县,141029000000
city_SX_lf_11,city_SX_10,大宁县,141030000000
city_SX_lf_12,city_SX_10,隰县,141031000000
city_SX_lf_13,city_SX_10,永和县,141032000000
city_SX_lf_14,city_SX_10,蒲县,141033000000
city_SX_lf_15,city_SX_10,汾西县,141034000000
city_SX_lf_16,city_SX_10,侯马市,141081000000
city_SX_lf_17,city_SX_10,霍州市,141082000000
city_SX_ll_1,city_SX_11,离石区,141102000000
city_SX_ll_2,city_SX_11,文水县,141121000000
city_SX_ll_3,city_SX_11,交城县,141122000000
city_SX_ll_4,city_SX_11,兴县,141123000000
city_SX_ll_5,city_SX_11,临县,141124000000
city_SX_ll_6,city_SX_11,柳林县,141125000000
city_SX_ll_7,city_SX_11,石楼县,141126000000
city_SX_ll_8,city_SX_11,岚县,141127000000
city_SX_ll_9,city_SX_11,方山县,141128000000
city_SX_ll_10,city_SX_11,中阳县,141129000000
city_SX_ll_11,city_SX_11,交口县,141130000000
city_SX_ll_12,city_SX_11,孝义市,141181000000
city_SX_ll_13,city_SX_11,汾阳市,141182000000
city_NM_hhht_1,city_NM_1,新城区,150102000000
city_NM_hhht_2,city_NM_1,回民区,150103000000
city_NM_hhht_3,city_NM_1,玉泉区,150104000000
city_NM_hhht_4,city_NM_1,赛罕区,150105000000
city_NM_hhht_5,city_NM_1,土默特左旗,150121000000
city_NM_hhht_6,city_NM_1,托克托县,150122000000
city_NM_hhht_7,city_NM_1,和林格尔县,150123000000
city_NM_hhht_8,city_NM_1,清水河县,150124000000
city_NM_hhht_9,city_NM_1,武川县,150125000000
city_NM_hhht_10,city_NM_1,呼和浩特金海工业园区,150171000000
city_NM_hhht_11,city_NM_1,呼和浩特经济技术开发区,150172000000
city_NM_bt_1,city_NM_2,东河区,150202000000
city_NM_bt_2,city_NM_2,昆都仑区,150203000000
city_NM_bt_3,city_NM_2,青山区,150204000000
city_NM_bt_4,city_NM_2,石拐区,150205000000
city_NM_bt_5,city_NM_2,白云鄂博矿区,150206000000
city_NM_bt_6,city_NM_2,九原区,150207000000
city_NM_bt_7,city_NM_2,土默特右旗,150221000000
city_NM_bt_8,city_NM_2,固阳县,150222000000
city_NM_bt_9,city_NM_2,达尔罕茂明安联合旗,150223000000
city_NM_bt_10,city_NM_2,包头稀土高新技术产业开发区,150271000000
city_NM_wh_1,city_NM_3,海勃湾区,150302000000
city_NM_wh_2,city_NM_3,海南区,150303000000
city_NM_wh_3,city_NM_3,乌达区,150304000000
city_NM_ch_1,city_NM_4,红山区,150402000000
city_NM_ch_2,city_NM_4,元宝山区,150403000000
city_NM_ch_3,city_NM_4,松山区,150404000000
city_NM_ch_4,city_NM_4,阿鲁科尔沁旗,150421000000
city_NM_ch_5,city_NM_4,巴林左旗,150422000000
city_NM_ch_6,city_NM_4,巴林右旗,150423000000
city_NM_ch_7,city_NM_4,林西县,150424000000
city_NM_ch_8,city_NM_4,克什克腾旗,150425000000
city_NM_ch_9,city_NM_4,翁牛特旗,150426000000
city_NM_ch_10,city_NM_4,喀喇沁旗,150428000000
city_NM_ch_11,city_NM_4,宁城县,150429000000
city_NM_ch_12,city_NM_4,敖汉旗,150430000000
city_NM_tl_1,city_NM_5,科尔沁区,150502000000
city_NM_tl_2,city_NM_5,科尔沁左翼中旗,150521000000
city_NM_tl_3,city_NM_5,科尔沁左翼后旗,150522000000
city_NM_tl_4,city_NM_5,开鲁县,150523000000
city_NM_tl_5,city_NM_5,库伦旗,150524000000
city_NM_tl_6,city_NM_5,奈曼旗,150525000000
city_NM_tl_7,city_NM_5,扎鲁特旗,150526000000
city_NM_tl_8,city_NM_5,通辽经济技术开发区,150571000000
city_NM_tl_9,city_NM_5,霍林郭勒市,150581000000
city_NM_eeds_1,city_NM_6,东胜区,150602000000
city_NM_eeds_2,city_NM_6,康巴什区,150603000000
city_NM_eeds_3,city_NM_6,达拉特旗,150621000000
city_NM_eeds_4,city_NM_6,准格尔旗,150622000000
city_NM_eeds_5,city_NM_6,鄂托克前旗,150623000000
city_NM_eeds_6,city_NM_6,鄂托克旗,150624000000
city_NM_eeds_7,city_NM_6,杭锦旗,150625000000
city_NM_eeds_8,city_NM_6,乌审旗,150626000000
city_NM_eeds_9,city_NM_6,伊金霍洛旗,150627000000
city_NM_hlbr_1,city_NM_7,海拉尔区,150702000000
city_NM_hlbr_2,city_NM_7,扎赉诺尔区,150703000000
city_NM_hlbr_3,city_NM_7,阿荣旗,150721000000
city_NM_hlbr_4,city_NM_7,莫力达瓦达斡尔族自治旗,150722000000
